7/3        | RNR                                                  | No
7/3        | Old Lead already in touch with Customer             | No
7/3        | Customer said he did not Enquire, Not Interested    | No
7/3        | Customer took details over the Call, asked to Call...| Yes
7/3        | Customer Disconnected the Call                       | No
7/3        | Old Lead already in touch with Customer             | No
7/3        | RNR                                                  | No
7/3        | Customer took details over the Call, asked to shar...| Yes
7/3        | BusyT, Call Back Later                               | Yes
7/3        | Numer Out of Servive                                 | No
7/3        | No Incoming Calls Available                          | No
7/3        | Customer Disconnected the Call                       | No
7/3        | Customer took details over the Call, Budget Issue    | Yes
8/3        | Called twice Not Reachable                           | No
8/3        | Customer took details over the Call, Budget Issue    | Yes
8/3        | Budget Issue, Not Interested                         | No
8/3        | Customer asked to share the details on Whatsapp, he...| Yes
8/3        | 9391052573, Customer asked to share Office Location...| Yes
8/3        | Switched Off                                         | No
8/3        | Busy                                                | Yes
8/3        | Looking for a 3BHK Residential Property near Gachib...| Yes
8/3        | Busy, he will Call Back                              | Yes
8/3        | Customer Disconnected the Call                       | No
8/3        | RNR; Not Interested                                  | No
8/3        | Customer Disconnected the Call                       | No
8/3        | Busy                                                | Yes
8/3        | Customer asked to share details on Whatsapp he wil...| Yes
8/3        | Customer took details over the Call, asked to shar...| Yes
8/3        | Customer took details over the Call, asked to shar...| Yes
8/3        | Customer said he is looking for Residential Property | Yes
8/3        | Customer said he is looking for Residential Property | Yes
8/3        | RNR                                                  | No
8/3        | RNR                                                  | No
8/3        | Customer said he is looking for Residential Property | Yes
8/3        | RNR                                                  | No
8/3        | Busy, Looking for a 1000 Sq. Ft. space for Enduse     | Yes
8/3        | RNR                                                  | No
8/3        | Customer said he is looking for Residential Property | Yes
8/3        | Customer took details over the Call, asked to shar...| Yes
8/3        | Customer said he is looking for Residential Property | Yes
8/3        | Customer took details over the Call, asked to shar...| Yes
8/3        | RNR, Called again RNR                               | No
9/3        | Call Auto Disconnecting                              | No
9/3        | Busy                                                | Yes
9/3        | Not Interested                                      | No
9/3        | Customer took details over the Call said he will ge...| Yes
9/3        | RNR                                                  | No
9/3        | Customer wants to invest 20 to 30 Lakhs, told him o...| Yes
9/3        | Call Auto Disconnecting                              | No
11/3       | RNR                                                  | No
11/3       | RNR, Not Interested                                  | No
11/3       | Not Interested                                      | No
11/3       | Invalid Number                                      | No
11/3       | RNR                                                  | No
11/3       | Director is Out of Station, Call Back on Monday (1...| Yes
11/3       | RNR                                                  | No
11/3       | Customer took details over the Call said she will t...| Yes
11/3       | Switched Off                                        | No
11/3       | Customer took details over the Call, Budget Issue     | Yes
11/3       | Customer took details over the Call, Budget Issue     | Yes
11/3       | Customer Disconnected the Call                       | No
11/3       | RNR                                                  | No
11/3       | Customer took details over the Call, need to Follow...| Yes
11/3       | RNR                                                  | No
11/3       | RNR                                                  | No
11/3       | RNR                                                  | No
14/3       | RNR                                                  | No
14/3       | No Network                                          | No
14/3       | RNR                                                  | No
14/3       | Busy                                                | Yes
15/3       | RNR                                                  | No
15/3       | Busy                                                | Yes
15/3       | Busy                                                | Yes
15/3       | Customer took details over the Call, Budget Issue     | Yes
15/3       | RNR                                                  | No
15/3       | Driving Call Back Later                             | Yes
15/3       | Looking for 800 Sq. Ft. for own office                | Yes
15/3       | Looking for 10 Lakhs Investment                       | Yes
15/3       | Looking for 60 Lakhs Apartment                         | Yes
15/3       | Busy, Customer Disconnected the Call                   | No
15/3       | Customer Disconnected the Call                         | No
15/3       | Customer Disconnected the Call, Looking for Reside...| No
15/3       | Busy, Call Back Later                                 | Yes
16/3       | Busy, Call Back Later                                 | Yes
16/3       | Looking for Villas, Not Interested                      | No
16/3       | No Network                                          | No
16/3       | No Network                                          | No
16/3       | RNR, Not Interested                                  | No
16/3       | Not Interested                                      | No
16/3       | Customer took details over the Call, Budget Issue     | Yes
16/3       | RNR                                                  | No
16/3       | Brother enquired, will Call back once he is back     | Yes
